shift_id,soc_id,shift_date,start_time,end_time,shift_type,analyst_count,supervisor_id
SHIFT-00092,SOC-003,2026-01-03,14:00:00,22:00:00,EVENING,3,ANL-3005
SHIFT-00093,SOC-003,2026-01-03,22:00:00,06:00:00,NIGHT,3,ANL-3007
SHIFT-00094,SOC-003,2026-01-04,06:00:00,14:00:00,MORNING,3,ANL-3003
SHIFT-00095,SOC-003,2026-01-04,14:00:00,22:00:00,EVENING,3,ANL-3005
SHIFT-00096,SOC-003,2026-01-04,22:00:00,06:00:00,NIGHT,3,ANL-3008
SHIFT-00097,SOC-003,2026-01-05,06:00:00,14:00:00,MORNING,3,ANL-3006
SHIFT-00098,SOC-003,2026-01-05,14:00:00,22:00:00,EVENING,3,ANL-3002
SHIFT-00099,SOC-003,2026-01-05,22:00:00,06:00:00,NIGHT,3,ANL-3001
SHIFT-00100,SOC-003,2026-01-06,06:00:00,14:00:00,MORNING,3,ANL-3008
SHIFT-00101,SOC-003,2026-01-06,14:00:00,22:00:00,EVENING,3,ANL-3002
SHIFT-00102,SOC-003,2026-01-06,22:00:00,06:00:00,NIGHT,3,ANL-3002
SHIFT-00103,SOC-003,2026-01-07,06:00:00,14:00:00,MORNING,3,ANL-3009
SHIFT-00104,SOC-003,2026-01-07,14:00:00,22:00:00,EVENING,3,ANL-3004
SHIFT-00105,SOC-003,2026-01-07,22:00:00,06:00:00,NIGHT,3,ANL-3009
SHIFT-00106,SOC-003,2026-01-08,06:00:00,14:00:00,MORNING,3,ANL-3005
SHIFT-00107,SOC-003,2026-01-08,14:00:00,22:00:00,EVENING,3,ANL-3003
SHIFT-00108,SOC-003,2026-01-08,22:00:00,06:00:00,NIGHT,3,ANL-3006
SHIFT-00109,SOC-003,2026-01-09,06:00:00,14:00:00,MORNING,3,ANL-3002
SHIFT-00110,SOC-003,2026-01-09,14:00:00,22:00:00,EVENING,3,ANL-3004
SHIFT-00111,SOC-003,2026-01-09,22:00:00,06:00:00,NIGHT,3,ANL-3006
SHIFT-00112,SOC-003,2026-01-10,06:00:00,14:00:00,MORNING,3,ANL-3005
SHIFT-00113,SOC-003,2026-01-10,14:00:00,22:00:00,EVENING,3,ANL-3003
SHIFT-00114,SOC-003,2026-01-10,22:00:00,06:00:00,NIGHT,3,ANL-3008
SHIFT-00115,SOC-003,2026-01-11,06:00:00,14:00:00,MORNING,3,ANL-3009
SHIFT-00116,SOC-003,2026-01-11,14:00:00,22:00:00,EVENING,3,ANL-3005
SHIFT-00117,SOC-003,2026-01-11,22:00:00,06:00:00,NIGHT,3,ANL-3009
SHIFT-00118,SOC-003,2026-01-12,06:00:00,14:00:00,MORNING,3,ANL-3001
SHIFT-00119,SOC-003,2026-01-12,14:00:00,22:00:00,EVENING,3,ANL-3009
SHIFT-00120,SOC-003,2026-01-12,22:00:00,06:00:00,NIGHT,3,ANL-3005
SHIFT-00121,SOC-003,2026-01-13,06:00:00,14:00:00,MORNING,3,ANL-3002
SHIFT-00122,SOC-003,2026-01-13,14:00:00,22:00:00,EVENING,3,ANL-3003
SHIFT-00123,SOC-003,2026-01-13,22:00:00,06:00:00,NIGHT,3,ANL-3005
SHIFT-00124,SOC-003,2026-01-14,06:00:00,14:00:00,MORNING,3,ANL-3002
SHIFT-00125,SOC-003,2026-01-14,14:00:00,22:00:00,EVENING,3,ANL-3002
SHIFT-00126,SOC-003,2026-01-14,22:00:00,06:00:00,NIGHT,3,ANL-3009
SHIFT-00127,SOC-004,2026-01-01,06:00:00,14:00:00,MORNING,4,ANL-4005
SHIFT-00128,SOC-004,2026-01-01,14:00:00,22:00:00,EVENING,4,ANL-4013
SHIFT-00129,SOC-004,2026-01-01,22:00:00,06:00:00,NIGHT,4,ANL-4004
SHIFT-00130,SOC-004,2026-01-02,06:00:00,14:00:00,MORNING,4,ANL-4004
SHIFT-00131,SOC-004,2026-01-02,14:00:00,22:00:00,EVENING,4,ANL-4001
SHIFT-00132,SOC-004,2026-01-02,22:00:00,06:00:00,NIGHT,4,ANL-4011
SHIFT-00133,SOC-004,2026-01-03,06:00:00,14:00:00,MORNING,4,ANL-4004
SHIFT-00134,SOC-004,2026-01-03,14:00:00,22:00:00,EVENING,4,ANL-4007
SHIFT-00135,SOC-004,2026-01-03,22:00:00,06:00:00,NIGHT,4,ANL-4006
SHIFT-00136,SOC-004,2026-01-04,06:00:00,14:00:00,MORNING,4,ANL-4005
SHIFT-00137,SOC-004,2026-01-04,14:00:00,22:00:00,EVENING,4,ANL-4002
SHIFT-00138,SOC-004,2026-01-04,22:00:00,06:00:00,NIGHT,4,ANL-4013
SHIFT-00139,SOC-004,2026-01-05,06:00:00,14:00:00,MORNING,4,ANL-4005
SHIFT-00140,SOC-004,2026-01-05,14:00:00,22:00:00,EVENING,4,ANL-4006
SHIFT-00141,SOC-004,2026-01-05,22:00:00,06:00:00,NIGHT,4,ANL-4011
SHIFT-00142,SOC-004,2026-01-06,06:00:00,14:00:00,MORNING,4,ANL-4009
SHIFT-00143,SOC-004,2026-01-06,14:00:00,22:00:00,EVENING,4,ANL-4007
SHIFT-00144,SOC-004,2026-01-06,22:00:00,06:00:00,NIGHT,4,ANL-4011
SHIFT-00145,SOC-004,2026-01-07,06:00:00,14:00:00,MORNING,4,ANL-4009
SHIFT-00146,SOC-004,2026-01-07,14:00:00,22:00:00,EVENING,4,ANL-4006
SHIFT-00147,SOC-004,2026-01-07,22:00:00,06:00:00,NIGHT,4,ANL-4001
SHIFT-00148,SOC-004,2026-01-08,06:00:00,14:00:00,MORNING,4,ANL-4002
SHIFT-00149,SOC-004,2026-01-08,14:00:00,22:00:00,EVENING,4,ANL-4005
SHIFT-00150,SOC-004,2026-01-08,22:00:00,06:00:00,NIGHT,4,ANL-4003
SHIFT-00151,SOC-004,2026-01-09,06:00:00,14:00:00,MORNING,4,ANL-4010
SHIFT-00152,SOC-004,2026-01-09,14:00:00,22:00:00,EVENING,4,ANL-4005
SHIFT-00153,SOC-004,2026-01-09,22:00:00,06:00:00,NIGHT,4,ANL-4001
SHIFT-00154,SOC-004,2026-01-10,06:00:00,14:00:00,MORNING,4,ANL-4002
SHIFT-00155,SOC-004,2026-01-10,14:00:00,22:00:00,EVENING,4,ANL-4010
SHIFT-00156,SOC-004,2026-01-10,22:00:00,06:00:00,NIGHT,4,ANL-4007
SHIFT-00157,SOC-004,2026-01-11,06:00:00,14:00:00,MORNING,4,ANL-4006
SHIFT-00158,SOC-004,2026-01-11,14:00:00,22:00:00,EVENING,4,ANL-4012
SHIFT-00159,SOC-004,2026-01-11,22:00:00,06:00:00,NIGHT,4,ANL-4013
SHIFT-00160,SOC-004,2026-01-12,06:00:00,14:00:00,MORNING,4,ANL-4006
SHIFT-00161,SOC-004,2026-01-12,14:00:00,22:00:00,EVENING,4,ANL-4007
SHIFT-00162,SOC-004,2026-01-12,22:00:00,06:00:00,NIGHT,4,ANL-4010
SHIFT-00163,SOC-004,2026-01-13,06:00:00,14:00:00,MORNING,4,ANL-4009
SHIFT-00164,SOC-004,2026-01-13,14:00:00,22:00:00,EVENING,4,ANL-4002
SHIFT-00165,SOC-004,2026-01-13,22:00:00,06:00:00,NIGHT,4,ANL-4007
SHIFT-00166,SOC-004,2026-01-14,06:00:00,14:00:00,MORNING,4,ANL-4010
SHIFT-00167,SOC-004,2026-01-14,14:00:00,22:00:00,EVENING,4,ANL-4004
SHIFT-00168,SOC-004,2026-01-14,22:00:00,06:00:00,NIGHT,4,ANL-4005
SHIFT-00169,SOC-005,2026-01-01,06:00:00,14:00:00,MORNING,4,ANL-5009
SHIFT-00170,SOC-005,2026-01-01,14:00:00,22:00:00,EVENING,4,ANL-5004
SHIFT-00171,SOC-005,2026-01-01,22:00:00,06:00:00,NIGHT,4,ANL-5014
SHIFT-00172,SOC-005,2026-01-02,06:00:00,14:00:00,MORNING,4,ANL-5002
SHIFT-00173,SOC-005,2026-01-02,14:00:00,22:00:00,EVENING,4,ANL-5008
SHIFT-00174,SOC-005,2026-01-02,22:00:00,06:00:00,NIGHT,4,ANL-5003
SHIFT-00175,SOC-005,2026-01-03,06:00:00,14:00:00,MORNING,4,ANL-5013
SHIFT-00176,SOC-005,2026-01-03,14:00:00,22:00:00,EVENING,4,ANL-5008
SHIFT-00177,SOC-005,2026-01-03,22:00:00,06:00:00,NIGHT,4,ANL-5011
SHIFT-00178,SOC-005,2026-01-04,06:00:00,14:00:00,MORNING,4,ANL-5009
SHIFT-00179,SOC-005,2026-01-04,14:00:00,22:00:00,EVENING,4,ANL-5009
SHIFT-00180,SOC-005,2026-01-04,22:00:00,06:00:00,NIGHT,4,ANL-5010
SHIFT-00181,SOC-005,2026-01-05,06:00:00,14:00:00,MORNING,4,ANL-5006
SHIFT-00182,SOC-005,2026-01-05,14:00:00,22:00:00,EVENING,4,ANL-5013
SHIFT-00183,SOC-005,2026-01-05,22:00:00,06:00:00,NIGHT,4,ANL-5008
SHIFT-00184,SOC-005,2026-01-06,06:00:00,14:00:00,MORNING,4,ANL-5010
SHIFT-00185,SOC-005,2026-01-06,14:00:00,22:00:00,EVENING,4,ANL-5014
SHIFT-00186,SOC-005,2026-01-06,22:00:00,06:00:00,NIGHT,4,ANL-5012
SHIFT-00187,SOC-005,2026-01-07,06:00:00,14:00:00,MORNING,4,ANL-5009
SHIFT-00188,SOC-005,2026-01-07,14:00:00,22:00:00,EVENING,4,ANL-5007
SHIFT-00189,SOC-005,2026-01-07,22:00:00,06:00:00,NIGHT,4,ANL-5014
SHIFT-00190,SOC-005,2026-01-08,06:00:00,14:00:00,MORNING,4,ANL-5009
SHIFT-00191,SOC-005,2026-01-08,14:00:00,22:00:00,EVENING,4,ANL-5008
SHIFT-00192,SOC-005,2026-01-08,22:00:00,06:00:00,NIGHT,4,ANL-5003
SHIFT-00193,SOC-005,2026-01-09,06:00:00,14:00:00,MORNING,4,ANL-5012
SHIFT-00194,SOC-005,2026-01-09,14:00:00,22:00:00,EVENING,4,ANL-5014
SHIFT-00195,SOC-005,2026-01-09,22:00:00,06:00:00,NIGHT,4,ANL-5008
SHIFT-00196,SOC-005,2026-01-10,06:00:00,14:00:00,MORNING,4,ANL-5008
SHIFT-00197,SOC-005,2026-01-10,14:00:00,22:00:00,EVENING,4,ANL-5005
SHIFT-00198,SOC-005,2026-01-10,22:00:00,06:00:00,NIGHT,4,ANL-5013
SHIFT-00199,SOC-005,2026-01-11,06:00:00,14:00:00,MORNING,4,ANL-5004
SHIFT-00200,SOC-005,2026-01-11,14:00:00,22:00:00,EVENING,4,ANL-5014
SHIFT-00201,SOC-005,2026-01-11,22:00:00,06:00:00,NIGHT,4,ANL-5011
SHIFT-00202,SOC-005,2026-01-12,06:00:00,14:00:00,MORNING,4,ANL-5005
SHIFT-00203,SOC-005,2026-01-12,14:00:00,22:00:00,EVENING,4,ANL-5013
SHIFT-00204,SOC-005,2026-01-12,22:00:00,06:00:00,NIGHT,4,ANL-5013
SHIFT-00205,SOC-005,2026-01-13,06:00:00,14:00:00,MORNING,4,ANL-5009
SHIFT-00206,SOC-005,2026-01-13,14:00:00,22:00:00,EVENING,4,ANL-5008
SHIFT-00207,SOC-005,2026-01-13,22:00:00,06:00:00,NIGHT,4,ANL-5011
SHIFT-00208,SOC-005,2026-01-14,06:00:00,14:00:00,MORNING,4,ANL-5004
SHIFT-00209,SOC-005,2026-01-14,14:00:00,22:00:00,EVENING,4,ANL-5005
SHIFT-00210,SOC-005,2026-01-14,22:00:00,06:00:00,NIGHT,4,ANL-5008
