evidence_id,alert_id,case_id,analyst_id,timestamp,evidence_type,source,reference,relevance
EVD-000020,ALT-000020,CASE-000020,ANL-1007,2026-01-02T02:02:00Z,AUTHENTICATION_LOG,Splunk ES,REF-46160,Supports investigation finding
EVD-000021,ALT-000021,CASE-000021,ANL-1001,2026-01-01T21:12:00Z,SIEM_LOG,IBM QRadar,REF-96646,Supports investigation finding
EVD-000022,ALT-000022,CASE-000022,ANL-1001,2026-01-01T19:14:00Z,THREAT_INTELLIGENCE,Microsoft Sentinel,REF-14082,Supports investigation finding
EVD-000023,ALT-000023,CASE-000023,ANL-1002,2026-01-01T14:54:00Z,CASE_NOTE,Splunk ES,REF-69441,Supports investigation finding
EVD-000024,ALT-000024,CASE-000024,ANL-1003,2026-01-01T08:59:00Z,NETWORK_LOG,Elastic Security,REF-88696,Supports investigation finding
EVD-000025,ALT-000025,CASE-000025,ANL-1002,2026-01-01T08:23:00Z,PROCESS_TREE,IBM QRadar,REF-96159,Supports investigation finding
EVD-000026,ALT-000026,CASE-000026,ANL-1007,2026-01-01T07:56:00Z,NETWORK_LOG,Splunk ES,REF-38255,Supports investigation finding
EVD-000027,ALT-000027,CASE-000027,ANL-1008,2026-01-01T22:20:00Z,ENDPOINT_LOG,IBM QRadar,REF-59834,Supports investigation finding
EVD-000028,ALT-000028,CASE-000028,ANL-1001,2026-01-01T01:53:00Z,AUTHENTICATION_LOG,Microsoft Sentinel,REF-87184,Supports investigation finding
EVD-000029,ALT-000029,CASE-000029,ANL-1003,2026-01-01T11:16:00Z,CASE_NOTE,Microsoft Sentinel,REF-85952,Supports investigation finding
EVD-000030,ALT-000030,CASE-000030,ANL-1005,2026-01-01T15:28:00Z,PROCESS_TREE,Microsoft Sentinel,REF-72341,Supports investigation finding
EVD-000031,ALT-000031,CASE-000031,ANL-1002,2026-01-01T11:50:00Z,THREAT_INTELLIGENCE,Splunk ES,REF-60667,Supports investigation finding
EVD-000032,ALT-000032,CASE-000032,ANL-1006,2026-01-01T06:06:00Z,NETWORK_LOG,Elastic Security,REF-73736,Supports investigation finding
EVD-000033,ALT-000033,CASE-000033,ANL-1009,2026-01-01T04:47:00Z,ENDPOINT_LOG,Microsoft Sentinel,REF-79993,Supports investigation finding
EVD-000034,ALT-000034,CASE-000034,ANL-1008,2026-01-01T19:42:00Z,NETWORK_LOG,Elastic Security,REF-68893,Supports investigation finding
EVD-000035,ALT-000037,CASE-000037,ANL-1007,2026-01-01T08:02:00Z,THREAT_INTELLIGENCE,Microsoft Sentinel,REF-53583,Supports investigation finding
EVD-000036,ALT-000038,CASE-000038,ANL-1008,2026-01-01T21:56:00Z,NETWORK_LOG,Splunk ES,REF-56789,Supports investigation finding
EVD-000037,ALT-000039,CASE-000039,ANL-1007,2026-01-02T00:20:00Z,NETWORK_LOG,Splunk ES,REF-96628,Supports investigation finding
EVD-000038,ALT-000040,CASE-000040,ANL-1001,2026-01-01T12:26:00Z,NETWORK_LOG,IBM QRadar,REF-60181,Supports investigation finding
EVD-000039,ALT-000041,CASE-000041,ANL-1002,2026-01-02T15:34:00Z,NETWORK_LOG,IBM QRadar,REF-74382,Supports investigation finding
EVD-000040,ALT-000042,CASE-000042,ANL-1006,2026-01-02T11:25:00Z,SIEM_LOG,IBM QRadar,REF-18617,Supports investigation finding
EVD-000041,ALT-000043,CASE-000043,ANL-1008,2026-01-02T21:25:00Z,NETWORK_LOG,IBM QRadar,REF-35729,Supports investigation finding
EVD-000042,ALT-000044,CASE-000044,ANL-1003,2026-01-02T17:47:00Z,AUTHENTICATION_LOG,Splunk ES,REF-42096,Supports investigation finding
EVD-000043,ALT-000045,CASE-000045,ANL-1008,2026-01-02T15:13:00Z,ENDPOINT_LOG,IBM QRadar,REF-22689,Supports investigation finding
EVD-000044,ALT-000046,CASE-000046,ANL-1006,2026-01-02T07:10:00Z,NETWORK_LOG,IBM QRadar,REF-16377,Supports investigation finding
EVD-000045,ALT-000048,CASE-000048,ANL-1006,2026-01-02T12:27:00Z,THREAT_INTELLIGENCE,IBM QRadar,REF-49221,Supports investigation finding
EVD-000046,ALT-000049,CASE-000049,ANL-1002,2026-01-02T11:08:00Z,NETWORK_LOG,IBM QRadar,REF-64890,Supports investigation finding
EVD-000047,ALT-000050,CASE-000050,ANL-1003,2026-01-02T23:43:00Z,NETWORK_LOG,IBM QRadar,REF-47880,Supports investigation finding
EVD-000048,ALT-000051,CASE-000051,ANL-1005,2026-01-03T00:07:00Z,THREAT_INTELLIGENCE,Elastic Security,REF-45601,Supports investigation finding
EVD-000049,ALT-000052,CASE-000052,ANL-1011,2026-01-02T16:49:00Z,CASE_NOTE,Microsoft Sentinel,REF-21725,Supports investigation finding
EVD-000050,ALT-000053,CASE-000053,ANL-1001,2026-01-02T08:25:00Z,NETWORK_LOG,Elastic Security,REF-31298,Supports investigation finding
EVD-000051,ALT-000054,CASE-000054,ANL-1011,2026-01-02T10:09:00Z,AUTHENTICATION_LOG,Splunk ES,REF-44995,Supports investigation finding
EVD-000052,ALT-000055,CASE-000055,ANL-1008,2026-01-02T21:57:00Z,CASE_NOTE,Elastic Security,REF-97044,Supports investigation finding
EVD-000053,ALT-000057,CASE-000057,ANL-1009,2026-01-02T18:35:00Z,ENDPOINT_LOG,IBM QRadar,REF-27750,Supports investigation finding
EVD-000054,ALT-000058,CASE-000058,ANL-1002,2026-01-02T13:02:00Z,ENDPOINT_LOG,Splunk ES,REF-70375,Supports investigation finding
EVD-000055,ALT-000059,CASE-000059,ANL-1001,2026-01-02T15:03:00Z,CASE_NOTE,Microsoft Sentinel,REF-85511,Supports investigation finding
EVD-000056,ALT-000060,CASE-000060,ANL-1007,2026-01-02T16:58:00Z,AUTHENTICATION_LOG,Microsoft Sentinel,REF-41584,Supports investigation finding
EVD-000057,ALT-000061,CASE-000061,ANL-1009,2026-01-02T14:19:00Z,THREAT_INTELLIGENCE,Splunk ES,REF-98008,Supports investigation finding
EVD-000058,ALT-000062,CASE-000062,ANL-1001,2026-01-02T10:39:00Z,PROCESS_TREE,Splunk ES,REF-75179,Supports investigation finding
EVD-000059,ALT-000063,CASE-000063,ANL-1004,2026-01-02T02:28:00Z,THREAT_INTELLIGENCE,Microsoft Sentinel,REF-56160,Supports investigation finding
EVD-000060,ALT-000064,CASE-000064,ANL-1009,2026-01-02T20:45:00Z,SIEM_LOG,Microsoft Sentinel,REF-10866,Supports investigation finding
EVD-000061,ALT-000065,CASE-000065,ANL-1003,2026-01-02T22:03:00Z,THREAT_INTELLIGENCE,Microsoft Sentinel,REF-95182,Supports investigation finding
EVD-000062,ALT-000066,CASE-000066,ANL-1001,2026-01-02T02:51:00Z,CASE_NOTE,Microsoft Sentinel,REF-51220,Supports investigation finding
EVD-000063,ALT-000067,CASE-000067,ANL-1004,2026-01-02T06:03:00Z,SIEM_LOG,Elastic Security,REF-93115,Supports investigation finding
EVD-000064,ALT-000068,CASE-000068,ANL-1010,2026-01-02T12:43:00Z,SIEM_LOG,Splunk ES,REF-34561,Supports investigation finding
EVD-000065,ALT-000069,CASE-000069,ANL-1010,2026-01-02T18:00:00Z,SIEM_LOG,IBM QRadar,REF-31916,Supports investigation finding
EVD-000066,ALT-000070,CASE-000070,ANL-1004,2026-01-02T12:15:00Z,NETWORK_LOG,Elastic Security,REF-89064,Supports investigation finding
EVD-000067,ALT-000071,CASE-000071,ANL-1011,2026-01-02T10:56:00Z,ENDPOINT_LOG,Splunk ES,REF-93012,Supports investigation finding
EVD-000068,ALT-000072,CASE-000072,ANL-1009,2026-01-02T18:45:00Z,PROCESS_TREE,Elastic Security,REF-77999,Supports investigation finding
EVD-000069,ALT-000073,CASE-000073,ANL-1009,2026-01-02T22:25:00Z,AUTHENTICATION_LOG,Microsoft Sentinel,REF-69303,Supports investigation finding
EVD-000070,ALT-000074,CASE-000074,ANL-1006,2026-01-02T01:35:00Z,SIEM_LOG,Splunk ES,REF-38153,Supports investigation finding
EVD-000071,ALT-000075,CASE-000075,ANL-1005,2026-01-02T15:13:00Z,SIEM_LOG,Elastic Security,REF-33992,Supports investigation finding
EVD-000072,ALT-000076,CASE-000076,ANL-1003,2026-01-02T13:28:00Z,PROCESS_TREE,Splunk ES,REF-95599,Supports investigation finding
EVD-000073,ALT-000077,CASE-000077,ANL-1002,2026-01-02T15:55:00Z,CASE_NOTE,Splunk ES,REF-15453,Supports investigation finding
EVD-000074,ALT-000078,CASE-000078,ANL-1001,2026-01-02T08:04:00Z,PROCESS_TREE,IBM QRadar,REF-32069,Supports investigation finding
EVD-000075,ALT-000079,CASE-000079,ANL-1001,2026-01-02T14:48:00Z,AUTHENTICATION_LOG,Splunk ES,REF-77582,Supports investigation finding
EVD-000076,ALT-000080,CASE-000080,ANL-1008,2026-01-03T00:33:00Z,SIEM_LOG,IBM QRadar,REF-92074,Supports investigation finding
EVD-000077,ALT-000081,CASE-000081,ANL-1003,2026-01-03T14:00:00Z,ENDPOINT_LOG,IBM QRadar,REF-72496,Supports investigation finding
EVD-000078,ALT-000082,CASE-000082,ANL-1002,2026-01-03T11:50:00Z,PROCESS_TREE,Elastic Security,REF-83831,Supports investigation finding
EVD-000079,ALT-000083,CASE-000083,ANL-1007,2026-01-03T23:37:00Z,CASE_NOTE,Elastic Security,REF-96298,Supports investigation finding
EVD-000080,ALT-000084,CASE-000084,ANL-1007,2026-01-03T08:07:00Z,NETWORK_LOG,Elastic Security,REF-38277,Supports investigation finding
EVD-000081,ALT-000085,CASE-000085,ANL-1007,2026-01-03T14:01:00Z,SIEM_LOG,Splunk ES,REF-69424,Supports investigation finding
EVD-000082,ALT-000086,CASE-000086,ANL-1001,2026-01-03T05:22:00Z,AUTHENTICATION_LOG,IBM QRadar,REF-76949,Supports investigation finding
EVD-000083,ALT-000087,CASE-000087,ANL-1010,2026-01-03T04:42:00Z,AUTHENTICATION_LOG,Microsoft Sentinel,REF-51934,Supports investigation finding
EVD-000084,ALT-000089,CASE-000089,ANL-1004,2026-01-03T16:33:00Z,ENDPOINT_LOG,Splunk ES,REF-46677,Supports investigation finding
EVD-000085,ALT-000090,CASE-000090,ANL-1002,2026-01-03T15:22:00Z,ENDPOINT_LOG,Splunk ES,REF-19789,Supports investigation finding
EVD-000086,ALT-000091,CASE-000091,ANL-1002,2026-01-03T11:08:00Z,PROCESS_TREE,Splunk ES,REF-16416,Supports investigation finding
EVD-000087,ALT-000092,CASE-000092,ANL-1009,2026-01-03T15:03:00Z,CASE_NOTE,Elastic Security,REF-26880,Supports investigation finding
EVD-000088,ALT-000093,CASE-000093,ANL-1003,2026-01-03T21:53:00Z,THREAT_INTELLIGENCE,Splunk ES,REF-78919,Supports investigation finding
EVD-000089,ALT-000094,CASE-000094,ANL-1010,2026-01-03T16:07:00Z,THREAT_INTELLIGENCE,Elastic Security,REF-41608,Supports investigation finding
EVD-000090,ALT-000095,CASE-000095,ANL-1004,2026-01-03T06:03:00Z,PROCESS_TREE,IBM QRadar,REF-72650,Supports investigation finding
EVD-000091,ALT-000096,CASE-000096,ANL-1001,2026-01-03T18:28:00Z,THREAT_INTELLIGENCE,Splunk ES,REF-87194,Supports investigation finding
EVD-000092,ALT-000097,CASE-000097,ANL-1010,2026-01-03T02:02:00Z,NETWORK_LOG,Microsoft Sentinel,REF-37483,Supports investigation finding
EVD-000093,ALT-000098,CASE-000098,ANL-1007,2026-01-03T00:31:00Z,NETWORK_LOG,Elastic Security,REF-23726,Supports investigation finding
EVD-000094,ALT-000099,CASE-000099,ANL-1010,2026-01-03T02:57:00Z,AUTHENTICATION_LOG,Elastic Security,REF-84943,Supports investigation finding
EVD-000095,ALT-000100,CASE-000100,ANL-1011,2026-01-03T10:43:00Z,NETWORK_LOG,Elastic Security,REF-59996,Supports investigation finding
EVD-000096,ALT-000101,CASE-000101,ANL-1005,2026-01-03T09:39:00Z,NETWORK_LOG,Splunk ES,REF-20348,Supports investigation finding
EVD-000097,ALT-000102,CASE-000102,ANL-1004,2026-01-03T05:44:00Z,CASE_NOTE,Splunk ES,REF-91665,Supports investigation finding
EVD-000098,ALT-000103,CASE-000103,ANL-1002,2026-01-03T19:42:00Z,AUTHENTICATION_LOG,Microsoft Sentinel,REF-53449,Supports investigation finding
EVD-000099,ALT-000104,CASE-000104,ANL-1005,2026-01-03T11:35:00Z,CASE_NOTE,Elastic Security,REF-77698,Supports investigation finding
EVD-000100,ALT-000105,CASE-000105,ANL-1009,2026-01-03T05:25:00Z,NETWORK_LOG,Microsoft Sentinel,REF-74066,Supports investigation finding
EVD-000101,ALT-000107,CASE-000107,ANL-1007,2026-01-03T20:55:00Z,CASE_NOTE,IBM QRadar,REF-46291,Supports investigation finding
EVD-000102,ALT-000109,CASE-000109,ANL-1009,2026-01-03T23:30:00Z,CASE_NOTE,Microsoft Sentinel,REF-25437,Supports investigation finding
EVD-000103,ALT-000110,CASE-000110,ANL-1009,2026-01-03T22:07:00Z,ENDPOINT_LOG,Microsoft Sentinel,REF-32099,Supports investigation finding
EVD-000104,ALT-000111,CASE-000111,ANL-1007,2026-01-03T21:44:00Z,SIEM_LOG,Elastic Security,REF-60272,Supports investigation finding
EVD-000105,ALT-000112,CASE-000112,ANL-1009,2026-01-03T10:02:00Z,PROCESS_TREE,IBM QRadar,REF-32149,Supports investigation finding
EVD-000106,ALT-000113,CASE-000113,ANL-1001,2026-01-03T02:16:00Z,PROCESS_TREE,Microsoft Sentinel,REF-27978,Supports investigation finding
EVD-000107,ALT-000115,CASE-000115,ANL-1002,2026-01-03T16:28:00Z,THREAT_INTELLIGENCE,Splunk ES,REF-94829,Supports investigation finding
EVD-000108,ALT-000116,CASE-000116,ANL-1006,2026-01-03T23:35:00Z,THREAT_INTELLIGENCE,Splunk ES,REF-67430,Supports investigation finding
EVD-000109,ALT-000117,CASE-000117,ANL-1003,2026-01-04T00:43:00Z,ENDPOINT_LOG,Elastic Security,REF-83183,Supports investigation finding
EVD-000110,ALT-000118,CASE-000118,ANL-1008,2026-01-03T05:45:00Z,SIEM_LOG,IBM QRadar,REF-62879,Supports investigation finding
EVD-000111,ALT-000119,CASE-000119,ANL-1011,2026-01-03T07:16:00Z,NETWORK_LOG,IBM QRadar,REF-93055,Supports investigation finding
EVD-000112,ALT-000120,CASE-000120,ANL-1007,2026-01-03T05:39:00Z,THREAT_INTELLIGENCE,Splunk ES,REF-16366,Supports investigation finding
EVD-000113,ALT-000121,CASE-000121,ANL-1011,2026-01-04T04:03:00Z,THREAT_INTELLIGENCE,IBM QRadar,REF-38487,Supports investigation finding
EVD-000114,ALT-000122,CASE-000122,ANL-1009,2026-01-04T05:48:00Z,CASE_NOTE,IBM QRadar,REF-31094,Supports investigation finding
EVD-000115,ALT-000123,CASE-000123,ANL-1011,2026-01-04T20:22:00Z,THREAT_INTELLIGENCE,Splunk ES,REF-94886,Supports investigation finding
EVD-000116,ALT-000124,CASE-000124,ANL-1003,2026-01-04T03:01:00Z,SIEM_LOG,Microsoft Sentinel,REF-91968,Supports investigation finding
EVD-000117,ALT-000125,CASE-000125,ANL-1004,2026-01-04T11:09:00Z,THREAT_INTELLIGENCE,Microsoft Sentinel,REF-55351,Supports investigation finding
EVD-000118,ALT-000126,CASE-000126,ANL-1002,2026-01-04T13:44:00Z,CASE_NOTE,IBM QRadar,REF-99837,Supports investigation finding
EVD-000119,ALT-000127,CASE-000127,ANL-1002,2026-01-04T11:34:00Z,SIEM_LOG,Splunk ES,REF-86756,Supports investigation finding
EVD-000120,ALT-000128,CASE-000128,ANL-1002,2026-01-04T10:20:00Z,SIEM_LOG,Elastic Security,REF-10659,Supports investigation finding
EVD-000121,ALT-000129,CASE-000129,ANL-1004,2026-01-05T00:09:00Z,THREAT_INTELLIGENCE,Splunk ES,REF-86099,Supports investigation finding
EVD-000122,ALT-000131,CASE-000131,ANL-1008,2026-01-04T16:09:00Z,PROCESS_TREE,IBM QRadar,REF-63101,Supports investigation finding
EVD-000123,ALT-000132,CASE-000132,ANL-1003,2026-01-04T16:34:00Z,PROCESS_TREE,Splunk ES,REF-84162,Supports investigation finding
EVD-000124,ALT-000133,CASE-000133,ANL-1005,2026-01-04T08:20:00Z,NETWORK_LOG,Microsoft Sentinel,REF-59326,Supports investigation finding
EVD-000125,ALT-000135,CASE-000135,ANL-1003,2026-01-04T07:29:00Z,PROCESS_TREE,Elastic Security,REF-93574,Supports investigation finding
EVD-000126,ALT-000137,CASE-000137,ANL-1001,2026-01-04T21:13:00Z,ENDPOINT_LOG,Microsoft Sentinel,REF-43360,Supports investigation finding
EVD-000127,ALT-000138,CASE-000138,ANL-1004,2026-01-04T14:16:00Z,NETWORK_LOG,Microsoft Sentinel,REF-99208,Supports investigation finding
EVD-000128,ALT-000139,CASE-000139,ANL-1005,2026-01-04T18:44:00Z,CASE_NOTE,IBM QRadar,REF-21939,Supports investigation finding
EVD-000129,ALT-000140,CASE-000140,ANL-1010,2026-01-04T11:38:00Z,NETWORK_LOG,Elastic Security,REF-41359,Supports investigation finding
EVD-000130,ALT-000141,CASE-000141,ANL-1007,2026-01-04T22:16:00Z,SIEM_LOG,Microsoft Sentinel,REF-75951,Supports investigation finding
EVD-000131,ALT-000142,CASE-000142,ANL-1008,2026-01-04T13:31:00Z,SIEM_LOG,IBM QRadar,REF-62288,Supports investigation finding
EVD-000132,ALT-000143,CASE-000143,ANL-1003,2026-01-04T19:25:00Z,PROCESS_TREE,Splunk ES,REF-10868,Supports investigation finding
EVD-000133,ALT-000144,CASE-000144,ANL-1005,2026-01-04T19:37:00Z,THREAT_INTELLIGENCE,IBM QRadar,REF-11103,Supports investigation finding
EVD-000134,ALT-000145,CASE-000145,ANL-1009,2026-01-04T09:09:00Z,THREAT_INTELLIGENCE,IBM QRadar,REF-39958,Supports investigation finding
EVD-000135,ALT-000146,CASE-000146,ANL-1003,2026-01-04T05:28:00Z,CASE_NOTE,Microsoft Sentinel,REF-92557,Supports investigation finding
EVD-000136,ALT-000149,CASE-000149,ANL-1002,2026-01-04T09:22:00Z,ENDPOINT_LOG,Elastic Security,REF-42426,Supports investigation finding
EVD-000137,ALT-000150,CASE-000150,ANL-1006,2026-01-04T12:55:00Z,NETWORK_LOG,Elastic Security,REF-64028,Supports investigation finding
EVD-000138,ALT-000151,CASE-000151,ANL-1005,2026-01-04T05:08:00Z,THREAT_INTELLIGENCE,Microsoft Sentinel,REF-94671,Supports investigation finding
EVD-000139,ALT-000152,CASE-000152,ANL-1010,2026-01-04T08:31:00Z,ENDPOINT_LOG,IBM QRadar,REF-16505,Supports investigation finding
EVD-000140,ALT-000153,CASE-000153,ANL-1001,2026-01-04T23:25:00Z,AUTHENTICATION_LOG,Splunk ES,REF-33803,Supports investigation finding
EVD-000141,ALT-000154,CASE-000154,ANL-1007,2026-01-04T23:30:00Z,ENDPOINT_LOG,Elastic Security,REF-57241,Supports investigation finding
EVD-000142,ALT-000155,CASE-000155,ANL-1005,2026-01-04T01:07:00Z,THREAT_INTELLIGENCE,Elastic Security,REF-30174,Supports investigation finding
EVD-000143,ALT-000156,CASE-000156,ANL-1006,2026-01-04T22:12:00Z,NETWORK_LOG,Elastic Security,REF-52425,Supports investigation finding
EVD-000144,ALT-000157,CASE-000157,ANL-1005,2026-01-04T10:24:00Z,NETWORK_LOG,Elastic Security,REF-52283,Supports investigation finding
EVD-000145,ALT-000158,CASE-000158,ANL-1003,2026-01-04T02:38:00Z,CASE_NOTE,Microsoft Sentinel,REF-20480,Supports investigation finding
EVD-000146,ALT-000159,CASE-000159,ANL-1010,2026-01-04T22:47:00Z,THREAT_INTELLIGENCE,Microsoft Sentinel,REF-83156,Supports investigation finding
EVD-000147,ALT-000160,CASE-000160,ANL-1007,2026-01-04T06:18:00Z,AUTHENTICATION_LOG,Splunk ES,REF-68654,Supports investigation finding
EVD-000148,ALT-000161,CASE-000161,ANL-1005,2026-01-05T09:35:00Z,AUTHENTICATION_LOG,Splunk ES,REF-84588,Supports investigation finding
EVD-000149,ALT-000162,CASE-000162,ANL-1010,2026-01-05T23:41:00Z,SIEM_LOG,Microsoft Sentinel,REF-49948,Supports investigation finding
EVD-000150,ALT-000163,CASE-000163,ANL-1001,2026-01-05T08:41:00Z,PROCESS_TREE,Elastic Security,REF-66949,Supports investigation finding
EVD-000151,ALT-000164,CASE-000164,ANL-1009,2026-01-05T18:58:00Z,ENDPOINT_LOG,Splunk ES,REF-55838,Supports investigation finding
EVD-000152,ALT-000165,CASE-000165,ANL-1011,2026-01-05T07:33:00Z,PROCESS_TREE,Microsoft Sentinel,REF-78585,Supports investigation finding
EVD-000153,ALT-000166,CASE-000166,ANL-1001,2026-01-05T22:28:00Z,AUTHENTICATION_LOG,Microsoft Sentinel,REF-88263,Supports investigation finding
EVD-000154,ALT-000167,CASE-000167,ANL-1001,2026-01-05T18:40:00Z,ENDPOINT_LOG,IBM QRadar,REF-54798,Supports investigation finding
EVD-000155,ALT-000168,CASE-000168,ANL-1011,2026-01-05T20:48:00Z,CASE_NOTE,Elastic Security,REF-29025,Supports investigation finding
EVD-000156,ALT-000169,CASE-000169,ANL-1003,2026-01-05T23:43:00Z,PROCESS_TREE,Splunk ES,REF-90263,Supports investigation finding
EVD-000157,ALT-000170,CASE-000170,ANL-1009,2026-01-05T16:12:00Z,SIEM_LOG,Elastic Security,REF-33209,Supports investigation finding
EVD-000158,ALT-000171,CASE-000171,ANL-1001,2026-01-05T13:31:00Z,AUTHENTICATION_LOG,Elastic Security,REF-49918,Supports investigation finding
EVD-000159,ALT-000172,CASE-000172,ANL-1003,2026-01-05T23:16:00Z,NETWORK_LOG,Elastic Security,REF-95010,Supports investigation finding
EVD-000160,ALT-000173,CASE-000173,ANL-1009,2026-01-05T11:29:00Z,THREAT_INTELLIGENCE,Splunk ES,REF-33684,Supports investigation finding
EVD-000161,ALT-000175,CASE-000175,ANL-1010,2026-01-05T03:09:00Z,AUTHENTICATION_LOG,IBM QRadar,REF-18869,Supports investigation finding
EVD-000162,ALT-000176,CASE-000176,ANL-1009,2026-01-05T09:19:00Z,THREAT_INTELLIGENCE,Splunk ES,REF-92818,Supports investigation finding
EVD-000163,ALT-000177,CASE-000177,ANL-1001,2026-01-05T00:26:00Z,SIEM_LOG,Microsoft Sentinel,REF-99893,Supports investigation finding
EVD-000164,ALT-000178,CASE-000178,ANL-1011,2026-01-05T12:28:00Z,SIEM_LOG,Elastic Security,REF-29569,Supports investigation finding
EVD-000165,ALT-000179,CASE-000179,ANL-1010,2026-01-05T06:12:00Z,CASE_NOTE,Microsoft Sentinel,REF-14901,Supports investigation finding
EVD-000166,ALT-000180,CASE-000180,ANL-1004,2026-01-05T16:44:00Z,AUTHENTICATION_LOG,Elastic Security,REF-16047,Supports investigation finding
EVD-000167,ALT-000181,CASE-000181,ANL-1004,2026-01-05T11:02:00Z,PROCESS_TREE,IBM QRadar,REF-42089,Supports investigation finding
EVD-000168,ALT-000182,CASE-000182,ANL-1008,2026-01-05T04:43:00Z,PROCESS_TREE,Microsoft Sentinel,REF-27274,Supports investigation finding
EVD-000169,ALT-000183,CASE-000183,ANL-1008,2026-01-05T23:49:00Z,CASE_NOTE,Splunk ES,REF-32387,Supports investigation finding
EVD-000170,ALT-000185,CASE-000185,ANL-1008,2026-01-05T19:31:00Z,CASE_NOTE,Elastic Security,REF-93379,Supports investigation finding
EVD-000171,ALT-000186,CASE-000186,ANL-1011,2026-01-05T07:02:00Z,THREAT_INTELLIGENCE,IBM QRadar,REF-83404,Supports investigation finding
EVD-000172,ALT-000187,CASE-000187,ANL-1011,2026-01-05T19:48:00Z,SIEM_LOG,Elastic Security,REF-94985,Supports investigation finding
EVD-000173,ALT-000188,CASE-000188,ANL-1011,2026-01-05T02:43:00Z,PROCESS_TREE,Elastic Security,REF-85543,Supports investigation finding
EVD-000174,ALT-000189,CASE-000189,ANL-1003,2026-01-06T02:49:00Z,AUTHENTICATION_LOG,IBM QRadar,REF-85230,Supports investigation finding
EVD-000175,ALT-000190,CASE-000190,ANL-1010,2026-01-06T00:13:00Z,PROCESS_TREE,IBM QRadar,REF-46827,Supports investigation finding
EVD-000176,ALT-000191,CASE-000191,ANL-1003,2026-01-05T19:24:00Z,PROCESS_TREE,IBM QRadar,REF-55229,Supports investigation finding
EVD-000177,ALT-000192,CASE-000192,ANL-1008,2026-01-05T16:34:00Z,NETWORK_LOG,Splunk ES,REF-45007,Supports investigation finding
EVD-000178,ALT-000193,CASE-000193,ANL-1011,2026-01-05T08:11:00Z,ENDPOINT_LOG,Splunk ES,REF-14461,Supports investigation finding
EVD-000179,ALT-000194,CASE-000194,ANL-1002,2026-01-05T04:10:00Z,CASE_NOTE,Splunk ES,REF-18177,Supports investigation finding
