incident_id,soc_id,created_at,severity,incident_type,attack_stage,affected_asset_count,affected_user_count,status,contained_at,resolved_at
INC-000036,SOC-002,2026-01-13T08:05:00Z,CRITICAL,Lateral Movement,Lateral Movement,5,1,RESOLVED,2026-01-13T07:47:00Z,2026-01-13T08:47:00Z
INC-000037,SOC-002,2026-01-13T20:35:00Z,CRITICAL,Impact,Impact,5,5,RESOLVED,2026-01-13T20:08:00Z,2026-01-13T21:08:00Z
INC-000038,SOC-002,2026-01-14T08:02:00Z,CRITICAL,Exfiltration,Exfiltration,1,3,RESOLVED,2026-01-14T07:37:00Z,2026-01-14T08:37:00Z
INC-000039,SOC-002,2026-01-14T06:13:00Z,CRITICAL,Persistence,Persistence,6,5,RESOLVED,2026-01-14T06:03:00Z,2026-01-14T07:03:00Z
INC-000040,SOC-003,2026-01-01T21:40:00Z,CRITICAL,Lateral Movement,Lateral Movement,7,2,RESOLVED,2026-01-01T21:12:00Z,2026-01-01T22:12:00Z
INC-000041,SOC-003,2026-01-02T21:25:00Z,CRITICAL,Reconnaissance,Reconnaissance,8,5,RESOLVED,2026-01-02T21:08:00Z,2026-01-02T22:08:00Z
INC-000042,SOC-003,2026-01-02T06:36:00Z,CRITICAL,Credential Access,Credential Access,1,4,RESOLVED,2026-01-02T06:11:00Z,2026-01-02T07:11:00Z
INC-000043,SOC-003,2026-01-03T20:37:00Z,CRITICAL,Reconnaissance,Reconnaissance,2,4,RESOLVED,2026-01-03T20:03:00Z,2026-01-03T21:03:00Z
INC-000044,SOC-003,2026-01-04T00:08:00Z,CRITICAL,Lateral Movement,Lateral Movement,3,4,RESOLVED,2026-01-04T19:40:00Z,2026-01-04T20:40:00Z
INC-000045,SOC-003,2026-01-04T11:19:00Z,CRITICAL,Impact,Impact,3,1,RESOLVED,2026-01-04T11:06:00Z,2026-01-04T12:06:00Z
INC-000046,SOC-003,2026-01-05T01:54:00Z,CRITICAL,Execution,Execution,7,1,RESOLVED,2026-01-05T01:46:00Z,2026-01-05T02:46:00Z
INC-000047,SOC-003,2026-01-07T07:04:00Z,CRITICAL,Reconnaissance,Reconnaissance,5,5,RESOLVED,2026-01-07T06:58:00Z,2026-01-07T07:58:00Z
INC-000048,SOC-003,2026-01-09T16:55:00Z,CRITICAL,Exfiltration,Exfiltration,5,5,RESOLVED,2026-01-09T16:46:00Z,2026-01-09T17:46:00Z
INC-000049,SOC-003,2026-01-09T01:21:00Z,CRITICAL,Exfiltration,Exfiltration,2,2,RESOLVED,2026-01-09T03:20:00Z,2026-01-09T04:20:00Z
INC-000050,SOC-003,2026-01-09T23:46:00Z,CRITICAL,Credential Access,Credential Access,3,1,RESOLVED,2026-01-09T23:45:00Z,2026-01-10T00:45:00Z
INC-000051,SOC-003,2026-01-10T11:59:00Z,CRITICAL,Exfiltration,Exfiltration,8,1,RESOLVED,2026-01-10T15:12:00Z,2026-01-10T16:12:00Z
INC-000052,SOC-003,2026-01-10T04:33:00Z,CRITICAL,Impact,Impact,5,2,RESOLVED,2026-01-10T04:24:00Z,2026-01-10T05:24:00Z
INC-000053,SOC-003,2026-01-10T12:51:00Z,CRITICAL,Command and Control,Command and Control,3,3,RESOLVED,2026-01-10T12:35:00Z,2026-01-10T13:35:00Z
INC-000054,SOC-003,2026-01-10T17:05:00Z,CRITICAL,Credential Access,Credential Access,1,4,RESOLVED,2026-01-10T16:49:00Z,2026-01-10T17:49:00Z
INC-000055,SOC-003,2026-01-12T16:45:00Z,CRITICAL,Impact,Impact,7,3,RESOLVED,2026-01-12T16:28:00Z,2026-01-12T17:28:00Z
INC-000056,SOC-003,2026-01-12T16:08:00Z,CRITICAL,Reconnaissance,Reconnaissance,6,5,RESOLVED,2026-01-12T15:53:00Z,2026-01-12T16:53:00Z
INC-000057,SOC-003,2026-01-12T18:43:00Z,CRITICAL,Persistence,Persistence,4,3,RESOLVED,2026-01-12T18:30:00Z,2026-01-12T19:30:00Z
INC-000058,SOC-003,2026-01-12T01:53:00Z,CRITICAL,Persistence,Persistence,3,1,RESOLVED,2026-01-12T04:24:00Z,2026-01-12T05:24:00Z
INC-000059,SOC-003,2026-01-12T06:52:00Z,CRITICAL,Impact,Impact,5,4,RESOLVED,2026-01-12T06:23:00Z,2026-01-12T07:23:00Z
INC-000060,SOC-003,2026-01-12T05:36:00Z,CRITICAL,Credential Access,Credential Access,6,2,RESOLVED,2026-01-12T05:19:00Z,2026-01-12T06:19:00Z
INC-000061,SOC-003,2026-01-12T20:30:00Z,CRITICAL,Persistence,Persistence,1,4,RESOLVED,2026-01-12T20:06:00Z,2026-01-12T21:06:00Z
INC-000062,SOC-003,2026-01-12T10:52:00Z,CRITICAL,Reconnaissance,Reconnaissance,7,3,RESOLVED,2026-01-12T10:30:00Z,2026-01-12T11:30:00Z
INC-000063,SOC-003,2026-01-12T00:00:00Z,CRITICAL,Command and Control,Command and Control,6,4,RESOLVED,2026-01-11T23:57:00Z,2026-01-12T00:57:00Z
INC-000064,SOC-003,2026-01-13T10:58:00Z,CRITICAL,Command and Control,Command and Control,2,1,RESOLVED,2026-01-13T10:38:00Z,2026-01-13T11:38:00Z
INC-000065,SOC-003,2026-01-14T22:22:00Z,CRITICAL,Exfiltration,Exfiltration,8,5,RESOLVED,2026-01-14T22:06:00Z,2026-01-14T23:06:00Z
INC-000066,SOC-003,2026-01-14T07:59:00Z,CRITICAL,Lateral Movement,Lateral Movement,1,1,RESOLVED,2026-01-14T07:35:00Z,2026-01-14T08:35:00Z
INC-000067,SOC-004,2026-01-01T06:26:00Z,CRITICAL,Lateral Movement,Lateral Movement,8,2,RESOLVED,2026-01-01T06:20:00Z,2026-01-01T07:20:00Z
INC-000068,SOC-004,2026-01-01T02:53:00Z,CRITICAL,Execution,Execution,8,1,RESOLVED,2026-01-01T04:15:00Z,2026-01-01T05:15:00Z
INC-000069,SOC-004,2026-01-01T20:42:00Z,CRITICAL,Execution,Execution,6,1,RESOLVED,2026-01-01T20:28:00Z,2026-01-01T21:28:00Z
INC-000070,SOC-004,2026-01-01T23:25:00Z,CRITICAL,Lateral Movement,Lateral Movement,3,3,RESOLVED,2026-01-01T23:04:00Z,2026-01-02T00:04:00Z
INC-000071,SOC-004,2026-01-01T15:36:00Z,CRITICAL,Impact,Impact,4,4,RESOLVED,2026-01-01T17:44:00Z,2026-01-01T18:44:00Z
INC-000072,SOC-004,2026-01-01T08:28:00Z,CRITICAL,Command and Control,Command and Control,2,1,RESOLVED,2026-01-01T08:16:00Z,2026-01-01T09:16:00Z
INC-000073,SOC-004,2026-01-02T17:06:00Z,CRITICAL,Credential Access,Credential Access,5,4,RESOLVED,2026-01-03T11:27:00Z,2026-01-03T12:27:00Z
INC-000074,SOC-004,2026-01-02T12:01:00Z,CRITICAL,Impact,Impact,2,3,RESOLVED,2026-01-02T13:51:00Z,2026-01-02T14:51:00Z
INC-000075,SOC-004,2026-01-02T08:07:00Z,CRITICAL,Execution,Execution,2,2,RESOLVED,2026-01-02T10:24:00Z,2026-01-02T11:24:00Z
INC-000076,SOC-004,2026-01-02T09:55:00Z,CRITICAL,Command and Control,Command and Control,1,1,RESOLVED,2026-01-02T09:23:00Z,2026-01-02T10:23:00Z
INC-000077,SOC-004,2026-01-02T02:47:00Z,CRITICAL,Command and Control,Command and Control,3,4,RESOLVED,2026-01-02T02:24:00Z,2026-01-02T03:24:00Z
INC-000078,SOC-004,2026-01-02T11:06:00Z,CRITICAL,Command and Control,Command and Control,2,1,RESOLVED,2026-01-03T06:08:00Z,2026-01-03T07:08:00Z
INC-000079,SOC-004,2026-01-02T01:21:00Z,CRITICAL,Exfiltration,Exfiltration,4,3,RESOLVED,2026-01-02T03:57:00Z,2026-01-02T04:57:00Z
INC-000080,SOC-004,2026-01-02T18:39:00Z,CRITICAL,Persistence,Persistence,4,4,RESOLVED,2026-01-02T18:06:00Z,2026-01-02T19:06:00Z
INC-000081,SOC-004,2026-01-02T22:39:00Z,CRITICAL,Persistence,Persistence,4,5,RESOLVED,2026-01-02T22:16:00Z,2026-01-02T23:16:00Z
INC-000082,SOC-004,2026-01-02T14:04:00Z,CRITICAL,Reconnaissance,Reconnaissance,4,2,RESOLVED,2026-01-02T16:04:00Z,2026-01-02T17:04:00Z
INC-000083,SOC-004,2026-01-02T02:01:00Z,CRITICAL,Exfiltration,Exfiltration,6,1,RESOLVED,2026-01-02T01:40:00Z,2026-01-02T02:40:00Z
INC-000084,SOC-004,2026-01-02T14:38:00Z,CRITICAL,Credential Access,Credential Access,1,3,RESOLVED,2026-01-02T14:24:00Z,2026-01-02T15:24:00Z
INC-000085,SOC-004,2026-01-02T05:01:00Z,CRITICAL,Lateral Movement,Lateral Movement,1,4,RESOLVED,2026-01-02T08:03:00Z,2026-01-02T09:03:00Z
INC-000086,SOC-004,2026-01-02T10:27:00Z,CRITICAL,Credential Access,Credential Access,5,3,RESOLVED,2026-01-02T10:13:00Z,2026-01-02T11:13:00Z
INC-000087,SOC-004,2026-01-02T02:26:00Z,CRITICAL,Command and Control,Command and Control,3,2,RESOLVED,2026-01-02T02:14:00Z,2026-01-02T03:14:00Z
INC-000088,SOC-004,2026-01-02T18:16:00Z,CRITICAL,Persistence,Persistence,5,1,RESOLVED,2026-01-02T18:08:00Z,2026-01-02T19:08:00Z
INC-000089,SOC-004,2026-01-03T12:02:00Z,CRITICAL,Exfiltration,Exfiltration,1,3,RESOLVED,2026-01-03T11:39:00Z,2026-01-03T12:39:00Z
INC-000090,SOC-004,2026-01-03T08:49:00Z,CRITICAL,Command and Control,Command and Control,8,2,RESOLVED,2026-01-03T08:34:00Z,2026-01-03T09:34:00Z
INC-000091,SOC-004,2026-01-03T08:32:00Z,CRITICAL,Command and Control,Command and Control,5,5,RESOLVED,2026-01-03T08:23:00Z,2026-01-03T09:23:00Z
INC-000092,SOC-004,2026-01-04T06:15:00Z,CRITICAL,Lateral Movement,Lateral Movement,5,5,RESOLVED,2026-01-04T06:10:00Z,2026-01-04T07:10:00Z
INC-000093,SOC-004,2026-01-08T02:49:00Z,CRITICAL,Command and Control,Command and Control,7,5,RESOLVED,2026-01-08T02:25:00Z,2026-01-08T03:25:00Z
INC-000094,SOC-004,2026-01-09T07:22:00Z,CRITICAL,Persistence,Persistence,4,2,RESOLVED,2026-01-11T01:50:00Z,2026-01-11T02:50:00Z
INC-000095,SOC-004,2026-01-09T07:06:00Z,CRITICAL,Impact,Impact,7,2,RESOLVED,2026-01-09T06:40:00Z,2026-01-09T07:40:00Z
INC-000096,SOC-004,2026-01-09T01:43:00Z,CRITICAL,Execution,Execution,3,4,RESOLVED,2026-01-09T04:20:00Z,2026-01-09T05:20:00Z
INC-000097,SOC-004,2026-01-09T16:41:00Z,CRITICAL,Execution,Execution,5,3,RESOLVED,2026-01-09T16:27:00Z,2026-01-09T17:27:00Z
INC-000098,SOC-004,2026-01-09T07:29:00Z,CRITICAL,Execution,Execution,2,4,RESOLVED,2026-01-09T07:03:00Z,2026-01-09T08:03:00Z
INC-000099,SOC-004,2026-01-09T21:32:00Z,CRITICAL,Credential Access,Credential Access,8,4,RESOLVED,2026-01-09T21:03:00Z,2026-01-09T22:03:00Z
INC-000100,SOC-004,2026-01-09T04:52:00Z,CRITICAL,Reconnaissance,Reconnaissance,8,4,RESOLVED,2026-01-09T04:28:00Z,2026-01-09T05:28:00Z
INC-000101,SOC-004,2026-01-09T13:11:00Z,CRITICAL,Lateral Movement,Lateral Movement,8,2,RESOLVED,2026-01-09T12:39:00Z,2026-01-09T13:39:00Z
INC-000102,SOC-004,2026-01-09T10:50:00Z,CRITICAL,Credential Access,Credential Access,2,4,RESOLVED,2026-01-09T14:04:00Z,2026-01-09T15:04:00Z
INC-000103,SOC-004,2026-01-09T11:05:00Z,CRITICAL,Reconnaissance,Reconnaissance,1,3,RESOLVED,2026-01-09T10:42:00Z,2026-01-09T11:42:00Z
INC-000104,SOC-004,2026-01-10T05:30:00Z,CRITICAL,Lateral Movement,Lateral Movement,8,3,RESOLVED,2026-01-10T05:31:00Z,2026-01-10T06:31:00Z
INC-000105,SOC-004,2026-01-10T15:03:00Z,CRITICAL,Lateral Movement,Lateral Movement,1,1,RESOLVED,2026-01-10T14:57:00Z,2026-01-10T15:57:00Z
INC-000106,SOC-004,2026-01-10T02:52:00Z,CRITICAL,Persistence,Persistence,3,1,RESOLVED,2026-01-10T05:00:00Z,2026-01-10T06:00:00Z
INC-000107,SOC-004,2026-01-12T08:32:00Z,CRITICAL,Persistence,Persistence,3,5,RESOLVED,2026-01-12T18:22:00Z,2026-01-12T19:22:00Z
INC-000108,SOC-004,2026-01-12T11:34:00Z,CRITICAL,Command and Control,Command and Control,6,5,RESOLVED,2026-01-12T11:18:00Z,2026-01-12T12:18:00Z
INC-000109,SOC-004,2026-01-13T04:15:00Z,CRITICAL,Exfiltration,Exfiltration,8,1,RESOLVED,2026-01-13T03:49:00Z,2026-01-13T04:49:00Z
INC-000110,SOC-004,2026-01-14T12:37:00Z,CRITICAL,Impact,Impact,5,2,RESOLVED,2026-01-14T12:09:00Z,2026-01-14T13:09:00Z
INC-000111,SOC-004,2026-01-14T10:30:00Z,CRITICAL,Persistence,Persistence,7,3,RESOLVED,2026-01-14T10:19:00Z,2026-01-14T11:19:00Z
INC-000112,SOC-005,2026-01-01T02:35:00Z,CRITICAL,Execution,Execution,5,5,RESOLVED,2026-01-01T02:24:00Z,2026-01-01T03:24:00Z
INC-000113,SOC-005,2026-01-02T22:19:00Z,CRITICAL,Impact,Impact,4,5,RESOLVED,2026-01-02T22:02:00Z,2026-01-02T23:02:00Z
INC-000114,SOC-005,2026-01-02T07:51:00Z,CRITICAL,Credential Access,Credential Access,7,3,RESOLVED,2026-01-02T07:26:00Z,2026-01-02T08:26:00Z
INC-000115,SOC-005,2026-01-05T23:19:00Z,CRITICAL,Persistence,Persistence,7,5,RESOLVED,2026-01-05T23:02:00Z,2026-01-06T00:02:00Z
INC-000116,SOC-005,2026-01-05T16:53:00Z,CRITICAL,Persistence,Persistence,1,4,RESOLVED,2026-01-05T16:42:00Z,2026-01-05T17:42:00Z
INC-000117,SOC-005,2026-01-08T19:05:00Z,CRITICAL,Impact,Impact,8,4,RESOLVED,2026-01-08T18:43:00Z,2026-01-08T19:43:00Z
INC-000118,SOC-005,2026-01-08T18:19:00Z,CRITICAL,Command and Control,Command and Control,1,3,RESOLVED,2026-01-08T18:08:00Z,2026-01-08T19:08:00Z
INC-000119,SOC-005,2026-01-09T18:50:00Z,CRITICAL,Impact,Impact,1,1,RESOLVED,2026-01-09T18:32:00Z,2026-01-09T19:32:00Z
INC-000120,SOC-005,2026-01-09T15:26:00Z,CRITICAL,Execution,Execution,7,1,RESOLVED,2026-01-09T15:10:00Z,2026-01-09T16:10:00Z
INC-000121,SOC-005,2026-01-11T11:55:00Z,CRITICAL,Execution,Execution,8,1,RESOLVED,2026-01-11T14:31:00Z,2026-01-11T15:31:00Z
INC-000122,SOC-005,2026-01-11T05:30:00Z,CRITICAL,Credential Access,Credential Access,8,1,RESOLVED,2026-01-11T05:12:00Z,2026-01-11T06:12:00Z
INC-000123,SOC-005,2026-01-13T02:16:00Z,CRITICAL,Persistence,Persistence,6,3,RESOLVED,2026-01-13T02:00:00Z,2026-01-13T03:00:00Z
INC-000124,SOC-005,2026-01-14T05:27:00Z,CRITICAL,Reconnaissance,Reconnaissance,4,5,RESOLVED,2026-01-14T05:17:00Z,2026-01-14T06:17:00Z
INC-000125,SOC-005,2026-01-14T15:38:00Z,CRITICAL,Credential Access,Credential Access,4,5,RESOLVED,2026-01-14T15:11:00Z,2026-01-14T16:11:00Z
INC-000126,SOC-005,2026-01-14T05:35:00Z,CRITICAL,Command and Control,Command and Control,5,1,RESOLVED,2026-01-14T05:23:00Z,2026-01-14T06:23:00Z
INC-000127,SOC-005,2026-01-14T18:03:00Z,CRITICAL,Reconnaissance,Reconnaissance,1,2,RESOLVED,2026-01-14T17:56:00Z,2026-01-14T18:56:00Z
