event_id,alert_id,event_type,timestamp,actor_id,previous_status,new_status
EVT-0000059,ALT-000009,CREATED,2026-01-01T09:44:00Z,ANL-1008,,NEW
EVT-0000060,ALT-000009,ASSIGNED,2026-01-01T09:44:00Z,ANL-1008,NEW,ASSIGNED
EVT-0000061,ALT-000009,ACKNOWLEDGED,2026-01-01T09:45:00Z,ANL-1008,ASSIGNED,ACKNOWLEDGED
EVT-0000062,ALT-000009,INVESTIGATION_STARTED,2026-01-01T09:48:00Z,ANL-1008,ACKNOWLEDGED,INVESTIGATING
EVT-0000063,ALT-000009,EVIDENCE_ADDED,2026-01-01T10:09:00Z,ANL-1008,INVESTIGATING,INVESTIGATING
EVT-0000064,ALT-000009,CLOSED,2026-01-01T14:21:00Z,ANL-1008,INVESTIGATING,CLOSED
EVT-0000065,ALT-000010,CREATED,2026-01-01T13:47:00Z,ANL-1006,,NEW
EVT-0000066,ALT-000010,ASSIGNED,2026-01-01T13:47:00Z,ANL-1006,NEW,ASSIGNED
EVT-0000067,ALT-000010,ACKNOWLEDGED,2026-01-01T14:09:00Z,ANL-1006,ASSIGNED,ACKNOWLEDGED
EVT-0000068,ALT-000010,INVESTIGATION_STARTED,2026-01-01T14:14:00Z,ANL-1006,ACKNOWLEDGED,INVESTIGATING
EVT-0000069,ALT-000010,EVIDENCE_ADDED,2026-01-01T14:45:00Z,ANL-1006,INVESTIGATING,INVESTIGATING
EVT-0000070,ALT-000010,CLOSED,2026-01-01T19:48:00Z,ANL-1006,INVESTIGATING,CLOSED
EVT-0000071,ALT-000011,CREATED,2026-01-01T21:25:00Z,ANL-1009,,NEW
EVT-0000072,ALT-000011,ASSIGNED,2026-01-01T21:25:00Z,ANL-1009,NEW,ASSIGNED
EVT-0000073,ALT-000011,ACKNOWLEDGED,2026-01-01T21:50:00Z,ANL-1009,ASSIGNED,ACKNOWLEDGED
EVT-0000074,ALT-000011,INVESTIGATION_STARTED,2026-01-01T21:55:00Z,ANL-1009,ACKNOWLEDGED,INVESTIGATING
EVT-0000075,ALT-000011,EVIDENCE_ADDED,2026-01-01T22:27:00Z,ANL-1009,INVESTIGATING,INVESTIGATING
EVT-0000076,ALT-000011,CLOSED,2026-01-02T00:57:00Z,ANL-1009,INVESTIGATING,CLOSED
EVT-0000077,ALT-000012,CREATED,2026-01-01T15:07:00Z,ANL-1001,,NEW
EVT-0000078,ALT-000012,ASSIGNED,2026-01-01T15:07:00Z,ANL-1001,NEW,ASSIGNED
EVT-0000079,ALT-000012,ACKNOWLEDGED,2026-01-01T15:20:00Z,ANL-1001,ASSIGNED,ACKNOWLEDGED
EVT-0000080,ALT-000012,INVESTIGATION_STARTED,2026-01-01T15:21:00Z,ANL-1001,ACKNOWLEDGED,INVESTIGATING
EVT-0000081,ALT-000012,EVIDENCE_ADDED,2026-01-01T15:48:00Z,ANL-1001,INVESTIGATING,INVESTIGATING
EVT-0000082,ALT-000012,CLOSED,2026-01-01T17:21:00Z,ANL-1001,INVESTIGATING,CLOSED
EVT-0000083,ALT-000013,CREATED,2026-01-01T13:21:00Z,ANL-1009,,NEW
EVT-0000084,ALT-000013,ASSIGNED,2026-01-01T13:21:00Z,ANL-1009,NEW,ASSIGNED
EVT-0000085,ALT-000013,ACKNOWLEDGED,2026-01-01T13:44:00Z,ANL-1009,ASSIGNED,ACKNOWLEDGED
EVT-0000086,ALT-000013,INVESTIGATION_STARTED,2026-01-01T13:48:00Z,ANL-1009,ACKNOWLEDGED,INVESTIGATING
EVT-0000087,ALT-000013,EVIDENCE_ADDED,2026-01-01T14:20:00Z,ANL-1009,INVESTIGATING,INVESTIGATING
EVT-0000088,ALT-000013,CLOSED,2026-01-01T19:15:00Z,ANL-1009,INVESTIGATING,CLOSED
EVT-0000089,ALT-000014,CREATED,2026-01-01T12:24:00Z,ANL-1011,,NEW
EVT-0000090,ALT-000014,ASSIGNED,2026-01-01T12:24:00Z,ANL-1011,NEW,ASSIGNED
EVT-0000091,ALT-000014,ACKNOWLEDGED,2026-01-01T12:36:00Z,ANL-1011,ASSIGNED,ACKNOWLEDGED
EVT-0000092,ALT-000014,INVESTIGATION_STARTED,2026-01-01T12:41:00Z,ANL-1011,ACKNOWLEDGED,INVESTIGATING
EVT-0000093,ALT-000014,EVIDENCE_ADDED,2026-01-01T13:06:00Z,ANL-1011,INVESTIGATING,INVESTIGATING
EVT-0000094,ALT-000014,ESCALATION_REQUESTED,2026-01-01T13:44:00Z,ANL-1011,INVESTIGATING,INVESTIGATING
EVT-0000095,ALT-000014,ESCALATED,2026-01-01T13:44:00Z,ANL-1011,INVESTIGATING,ESCALATED
EVT-0000096,ALT-000014,CLOSED,2026-01-01T13:46:00Z,ANL-1011,ESCALATED,CLOSED
EVT-0000097,ALT-000015,CREATED,2026-01-01T19:04:00Z,ANL-1004,,NEW
EVT-0000098,ALT-000015,ASSIGNED,2026-01-01T19:04:00Z,ANL-1004,NEW,ASSIGNED
EVT-0000099,ALT-000015,ACKNOWLEDGED,2026-01-01T19:19:00Z,ANL-1004,ASSIGNED,ACKNOWLEDGED
EVT-0000100,ALT-000015,INVESTIGATION_STARTED,2026-01-01T19:21:00Z,ANL-1004,ACKNOWLEDGED,INVESTIGATING
EVT-0000101,ALT-000015,EVIDENCE_ADDED,2026-01-01T19:38:00Z,ANL-1004,INVESTIGATING,INVESTIGATING
EVT-0000102,ALT-000015,ESCALATION_REQUESTED,2026-01-01T20:12:00Z,ANL-1004,INVESTIGATING,INVESTIGATING
EVT-0000103,ALT-000015,ESCALATED,2026-01-01T20:12:00Z,ANL-1004,INVESTIGATING,ESCALATED
EVT-0000104,ALT-000015,CLOSED,2026-01-01T20:21:00Z,ANL-1004,ESCALATED,CLOSED
EVT-0000105,ALT-000016,CREATED,2026-01-01T12:39:00Z,ANL-1011,,NEW
EVT-0000106,ALT-000016,ASSIGNED,2026-01-01T12:39:00Z,ANL-1011,NEW,ASSIGNED
EVT-0000107,ALT-000016,ACKNOWLEDGED,2026-01-01T12:58:00Z,ANL-1011,ASSIGNED,ACKNOWLEDGED
EVT-0000108,ALT-000016,INVESTIGATION_STARTED,2026-01-01T13:01:00Z,ANL-1011,ACKNOWLEDGED,INVESTIGATING
EVT-0000109,ALT-000016,EVIDENCE_ADDED,2026-01-01T13:29:00Z,ANL-1011,INVESTIGATING,INVESTIGATING
EVT-0000110,ALT-000016,CLOSED,2026-01-01T19:18:00Z,ANL-1011,INVESTIGATING,CLOSED
EVT-0000111,ALT-000017,CREATED,2026-01-01T11:36:00Z,ANL-1005,,NEW
EVT-0000112,ALT-000017,ASSIGNED,2026-01-01T11:36:00Z,ANL-1005,NEW,ASSIGNED
EVT-0000113,ALT-000017,ACKNOWLEDGED,2026-01-01T12:22:00Z,ANL-1005,ASSIGNED,ACKNOWLEDGED
EVT-0000114,ALT-000017,INVESTIGATION_STARTED,2026-01-01T12:25:00Z,ANL-1005,ACKNOWLEDGED,INVESTIGATING
EVT-0000115,ALT-000017,EVIDENCE_ADDED,2026-01-01T12:47:00Z,ANL-1005,INVESTIGATING,INVESTIGATING
EVT-0000116,ALT-000017,CLOSED,2026-01-01T16:12:00Z,ANL-1005,INVESTIGATING,CLOSED
EVT-0000117,ALT-000018,CREATED,2026-01-01T23:26:00Z,ANL-1003,,NEW
EVT-0000118,ALT-000018,ASSIGNED,2026-01-01T23:26:00Z,ANL-1003,NEW,ASSIGNED
EVT-0000119,ALT-000018,ACKNOWLEDGED,2026-01-01T23:30:00Z,ANL-1003,ASSIGNED,ACKNOWLEDGED
EVT-0000120,ALT-000018,INVESTIGATION_STARTED,2026-01-01T23:33:00Z,ANL-1003,ACKNOWLEDGED,INVESTIGATING
EVT-0000121,ALT-000018,EVIDENCE_ADDED,2026-01-01T23:51:00Z,ANL-1003,INVESTIGATING,INVESTIGATING
EVT-0000122,ALT-000018,ESCALATION_REQUESTED,2026-01-02T00:14:00Z,ANL-1003,INVESTIGATING,INVESTIGATING
EVT-0000123,ALT-000018,ESCALATED,2026-01-02T00:14:00Z,ANL-1003,INVESTIGATING,ESCALATED
EVT-0000124,ALT-000018,CLOSED,2026-01-02T00:15:00Z,ANL-1003,ESCALATED,CLOSED
EVT-0000125,ALT-000019,CREATED,2026-01-01T20:23:00Z,ANL-1002,,NEW
EVT-0000126,ALT-000019,ASSIGNED,2026-01-01T20:23:00Z,ANL-1002,NEW,ASSIGNED
EVT-0000127,ALT-000019,ACKNOWLEDGED,2026-01-01T20:26:00Z,ANL-1002,ASSIGNED,ACKNOWLEDGED
EVT-0000128,ALT-000019,INVESTIGATION_STARTED,2026-01-01T20:29:00Z,ANL-1002,ACKNOWLEDGED,INVESTIGATING
EVT-0000129,ALT-000019,EVIDENCE_ADDED,2026-01-01T20:49:00Z,ANL-1002,INVESTIGATING,INVESTIGATING
EVT-0000130,ALT-000019,CLOSED,2026-01-01T23:04:00Z,ANL-1002,INVESTIGATING,CLOSED
EVT-0000131,ALT-000020,CREATED,2026-01-01T22:34:00Z,ANL-1007,,NEW
EVT-0000132,ALT-000020,ASSIGNED,2026-01-01T22:34:00Z,ANL-1007,NEW,ASSIGNED
EVT-0000133,ALT-000020,ACKNOWLEDGED,2026-01-02T01:34:00Z,ANL-1007,ASSIGNED,ACKNOWLEDGED
EVT-0000134,ALT-000020,INVESTIGATION_STARTED,2026-01-02T01:37:00Z,ANL-1007,ACKNOWLEDGED,INVESTIGATING
EVT-0000135,ALT-000020,EVIDENCE_ADDED,2026-01-02T02:02:00Z,ANL-1007,INVESTIGATING,INVESTIGATING
EVT-0000136,ALT-000020,CLOSED,2026-01-02T17:37:00Z,ANL-1007,INVESTIGATING,CLOSED
EVT-0000137,ALT-000021,CREATED,2026-01-01T20:38:00Z,ANL-1001,,NEW
EVT-0000138,ALT-000021,ASSIGNED,2026-01-01T20:38:00Z,ANL-1001,NEW,ASSIGNED
EVT-0000139,ALT-000021,ACKNOWLEDGED,2026-01-01T20:44:00Z,ANL-1001,ASSIGNED,ACKNOWLEDGED
EVT-0000140,ALT-000021,INVESTIGATION_STARTED,2026-01-01T20:46:00Z,ANL-1001,ACKNOWLEDGED,INVESTIGATING
EVT-0000141,ALT-000021,EVIDENCE_ADDED,2026-01-01T21:12:00Z,ANL-1001,INVESTIGATING,INVESTIGATING
EVT-0000142,ALT-000021,CLOSED,2026-01-01T23:56:00Z,ANL-1001,INVESTIGATING,CLOSED
EVT-0000143,ALT-000022,CREATED,2026-01-01T18:20:00Z,ANL-1001,,NEW
EVT-0000144,ALT-000022,ASSIGNED,2026-01-01T18:20:00Z,ANL-1001,NEW,ASSIGNED
EVT-0000145,ALT-000022,ACKNOWLEDGED,2026-01-01T18:31:00Z,ANL-1001,ASSIGNED,ACKNOWLEDGED
EVT-0000146,ALT-000022,INVESTIGATION_STARTED,2026-01-01T18:34:00Z,ANL-1001,ACKNOWLEDGED,INVESTIGATING
EVT-0000147,ALT-000022,EVIDENCE_ADDED,2026-01-01T19:14:00Z,ANL-1001,INVESTIGATING,INVESTIGATING
EVT-0000148,ALT-000022,ESCALATION_REQUESTED,2026-01-01T19:26:00Z,ANL-1001,INVESTIGATING,INVESTIGATING
EVT-0000149,ALT-000022,ESCALATED,2026-01-01T19:26:00Z,ANL-1001,INVESTIGATING,ESCALATED
EVT-0000150,ALT-000022,CLOSED,2026-01-01T19:27:00Z,ANL-1001,ESCALATED,CLOSED
EVT-0000151,ALT-000023,CREATED,2026-01-01T14:04:00Z,ANL-1002,,NEW
EVT-0000152,ALT-000023,ASSIGNED,2026-01-01T14:04:00Z,ANL-1002,NEW,ASSIGNED
EVT-0000153,ALT-000023,ACKNOWLEDGED,2026-01-01T14:26:00Z,ANL-1002,ASSIGNED,ACKNOWLEDGED
EVT-0000154,ALT-000023,INVESTIGATION_STARTED,2026-01-01T14:31:00Z,ANL-1002,ACKNOWLEDGED,INVESTIGATING
EVT-0000155,ALT-000023,EVIDENCE_ADDED,2026-01-01T14:54:00Z,ANL-1002,INVESTIGATING,INVESTIGATING
EVT-0000156,ALT-000023,CLOSED,2026-01-01T16:25:00Z,ANL-1002,INVESTIGATING,CLOSED
EVT-0000157,ALT-000024,CREATED,2026-01-01T08:23:00Z,ANL-1003,,NEW
EVT-0000158,ALT-000024,ASSIGNED,2026-01-01T08:23:00Z,ANL-1003,NEW,ASSIGNED
EVT-0000159,ALT-000024,ACKNOWLEDGED,2026-01-01T08:29:00Z,ANL-1003,ASSIGNED,ACKNOWLEDGED
EVT-0000160,ALT-000024,INVESTIGATION_STARTED,2026-01-01T08:31:00Z,ANL-1003,ACKNOWLEDGED,INVESTIGATING
EVT-0000161,ALT-000024,EVIDENCE_ADDED,2026-01-01T08:59:00Z,ANL-1003,INVESTIGATING,INVESTIGATING
EVT-0000162,ALT-000024,CLOSED,2026-01-01T12:23:00Z,ANL-1003,INVESTIGATING,CLOSED
EVT-0000163,ALT-000025,CREATED,2026-01-01T07:54:00Z,ANL-1002,,NEW
EVT-0000164,ALT-000025,ASSIGNED,2026-01-01T07:54:00Z,ANL-1002,NEW,ASSIGNED
EVT-0000165,ALT-000025,ACKNOWLEDGED,2026-01-01T08:05:00Z,ANL-1002,ASSIGNED,ACKNOWLEDGED
EVT-0000166,ALT-000025,INVESTIGATION_STARTED,2026-01-01T08:08:00Z,ANL-1002,ACKNOWLEDGED,INVESTIGATING
EVT-0000167,ALT-000025,EVIDENCE_ADDED,2026-01-01T08:23:00Z,ANL-1002,INVESTIGATING,INVESTIGATING
EVT-0000168,ALT-000025,CLOSED,2026-01-01T15:16:00Z,ANL-1002,INVESTIGATING,CLOSED
EVT-0000169,ALT-000026,CREATED,2026-01-01T06:24:00Z,ANL-1007,,NEW
EVT-0000170,ALT-000026,ASSIGNED,2026-01-01T06:24:00Z,ANL-1007,NEW,ASSIGNED
EVT-0000171,ALT-000026,ACKNOWLEDGED,2026-01-01T07:24:00Z,ANL-1007,ASSIGNED,ACKNOWLEDGED
EVT-0000172,ALT-000026,INVESTIGATION_STARTED,2026-01-01T07:29:00Z,ANL-1007,ACKNOWLEDGED,INVESTIGATING
EVT-0000173,ALT-000026,EVIDENCE_ADDED,2026-01-01T07:56:00Z,ANL-1007,INVESTIGATING,INVESTIGATING
EVT-0000174,ALT-000026,CLOSED,2026-01-01T15:26:00Z,ANL-1007,INVESTIGATING,CLOSED
EVT-0000175,ALT-000027,CREATED,2026-01-01T21:37:00Z,ANL-1008,,NEW
EVT-0000176,ALT-000027,ASSIGNED,2026-01-01T21:37:00Z,ANL-1008,NEW,ASSIGNED
EVT-0000177,ALT-000027,ACKNOWLEDGED,2026-01-01T21:58:00Z,ANL-1008,ASSIGNED,ACKNOWLEDGED
EVT-0000178,ALT-000027,INVESTIGATION_STARTED,2026-01-01T22:00:00Z,ANL-1008,ACKNOWLEDGED,INVESTIGATING
EVT-0000179,ALT-000027,EVIDENCE_ADDED,2026-01-01T22:20:00Z,ANL-1008,INVESTIGATING,INVESTIGATING
EVT-0000180,ALT-000027,CLOSED,2026-01-02T01:40:00Z,ANL-1008,INVESTIGATING,CLOSED
EVT-0000181,ALT-000028,CREATED,2026-01-01T01:27:00Z,ANL-1001,,NEW
EVT-0000182,ALT-000028,ASSIGNED,2026-01-01T01:27:00Z,ANL-1001,NEW,ASSIGNED
EVT-0000183,ALT-000028,ACKNOWLEDGED,2026-01-01T01:30:00Z,ANL-1001,ASSIGNED,ACKNOWLEDGED
EVT-0000184,ALT-000028,INVESTIGATION_STARTED,2026-01-01T01:34:00Z,ANL-1001,ACKNOWLEDGED,INVESTIGATING
EVT-0000185,ALT-000028,EVIDENCE_ADDED,2026-01-01T01:53:00Z,ANL-1001,INVESTIGATING,INVESTIGATING
EVT-0000186,ALT-000028,CLOSED,2026-01-01T07:27:00Z,ANL-1001,INVESTIGATING,CLOSED
EVT-0000187,ALT-000029,CREATED,2026-01-01T10:49:00Z,ANL-1003,,NEW
EVT-0000188,ALT-000029,ASSIGNED,2026-01-01T10:49:00Z,ANL-1003,NEW,ASSIGNED
EVT-0000189,ALT-000029,ACKNOWLEDGED,2026-01-01T10:51:00Z,ANL-1003,ASSIGNED,ACKNOWLEDGED
EVT-0000190,ALT-000029,INVESTIGATION_STARTED,2026-01-01T10:53:00Z,ANL-1003,ACKNOWLEDGED,INVESTIGATING
EVT-0000191,ALT-000029,EVIDENCE_ADDED,2026-01-01T11:16:00Z,ANL-1003,INVESTIGATING,INVESTIGATING
EVT-0000192,ALT-000029,ESCALATION_REQUESTED,2026-01-01T11:34:00Z,ANL-1003,INVESTIGATING,INVESTIGATING
EVT-0000193,ALT-000029,ESCALATED,2026-01-01T11:34:00Z,ANL-1003,INVESTIGATING,ESCALATED
EVT-0000194,ALT-000029,CLOSED,2026-01-01T11:42:00Z,ANL-1003,ESCALATED,CLOSED
EVT-0000195,ALT-000030,CREATED,2026-01-01T14:40:00Z,ANL-1005,,NEW
EVT-0000196,ALT-000030,ASSIGNED,2026-01-01T14:40:00Z,ANL-1005,NEW,ASSIGNED
EVT-0000197,ALT-000030,ACKNOWLEDGED,2026-01-01T14:59:00Z,ANL-1005,ASSIGNED,ACKNOWLEDGED
EVT-0000198,ALT-000030,INVESTIGATION_STARTED,2026-01-01T15:02:00Z,ANL-1005,ACKNOWLEDGED,INVESTIGATING
EVT-0000199,ALT-000030,EVIDENCE_ADDED,2026-01-01T15:28:00Z,ANL-1005,INVESTIGATING,INVESTIGATING
EVT-0000200,ALT-000030,CLOSED,2026-01-01T17:58:00Z,ANL-1005,INVESTIGATING,CLOSED
EVT-0000201,ALT-000031,CREATED,2026-01-01T10:45:00Z,ANL-1002,,NEW
EVT-0000202,ALT-000031,ASSIGNED,2026-01-01T10:45:00Z,ANL-1002,NEW,ASSIGNED
EVT-0000203,ALT-000031,ACKNOWLEDGED,2026-01-01T11:17:00Z,ANL-1002,ASSIGNED,ACKNOWLEDGED
EVT-0000204,ALT-000031,INVESTIGATION_STARTED,2026-01-01T11:20:00Z,ANL-1002,ACKNOWLEDGED,INVESTIGATING
EVT-0000205,ALT-000031,EVIDENCE_ADDED,2026-01-01T11:50:00Z,ANL-1002,INVESTIGATING,INVESTIGATING
EVT-0000206,ALT-000031,CLOSED,2026-01-01T17:54:00Z,ANL-1002,INVESTIGATING,CLOSED
EVT-0000207,ALT-000032,CREATED,2026-01-01T04:58:00Z,ANL-1006,,NEW
EVT-0000208,ALT-000032,ASSIGNED,2026-01-01T04:58:00Z,ANL-1006,NEW,ASSIGNED
EVT-0000209,ALT-000032,ACKNOWLEDGED,2026-01-01T05:40:00Z,ANL-1006,ASSIGNED,ACKNOWLEDGED
EVT-0000210,ALT-000032,INVESTIGATION_STARTED,2026-01-01T05:42:00Z,ANL-1006,ACKNOWLEDGED,INVESTIGATING
EVT-0000211,ALT-000032,EVIDENCE_ADDED,2026-01-01T06:06:00Z,ANL-1006,INVESTIGATING,INVESTIGATING
EVT-0000212,ALT-000032,CLOSED,2026-01-01T06:08:00Z,ANL-1006,INVESTIGATING,CLOSED
EVT-0000213,ALT-000033,CREATED,2026-01-01T03:32:00Z,ANL-1009,,NEW
EVT-0000214,ALT-000033,ASSIGNED,2026-01-01T03:32:00Z,ANL-1009,NEW,ASSIGNED
EVT-0000215,ALT-000033,ACKNOWLEDGED,2026-01-01T04:20:00Z,ANL-1009,ASSIGNED,ACKNOWLEDGED
EVT-0000216,ALT-000033,INVESTIGATION_STARTED,2026-01-01T04:25:00Z,ANL-1009,ACKNOWLEDGED,INVESTIGATING
EVT-0000217,ALT-000033,EVIDENCE_ADDED,2026-01-01T04:47:00Z,ANL-1009,INVESTIGATING,INVESTIGATING
EVT-0000218,ALT-000033,CLOSED,2026-01-01T12:24:00Z,ANL-1009,INVESTIGATING,CLOSED
EVT-0000219,ALT-000034,CREATED,2026-01-01T18:28:00Z,ANL-1008,,NEW
EVT-0000220,ALT-000034,ASSIGNED,2026-01-01T18:28:00Z,ANL-1008,NEW,ASSIGNED
EVT-0000221,ALT-000034,ACKNOWLEDGED,2026-01-01T19:16:00Z,ANL-1008,ASSIGNED,ACKNOWLEDGED
EVT-0000222,ALT-000034,INVESTIGATION_STARTED,2026-01-01T19:19:00Z,ANL-1008,ACKNOWLEDGED,INVESTIGATING
EVT-0000223,ALT-000034,EVIDENCE_ADDED,2026-01-01T19:42:00Z,ANL-1008,INVESTIGATING,INVESTIGATING
EVT-0000224,ALT-000034,CLOSED,2026-01-02T02:10:00Z,ANL-1008,INVESTIGATING,CLOSED
EVT-0000225,ALT-000035,CREATED,2026-01-01T14:56:00Z,ANL-1006,,NEW
